state,core_area,popn_stream,source,n_yrs
MT,Hungry Horse Reservoir,Gordon Creek,redd_counts,12
MT,Hungry Horse Reservoir,Little Salmon Creek,redd_counts,12
MT,Hungry Horse Reservoir,Quintonkon Creek,redd_counts,26
MT,Hungry Horse Reservoir,Sullivan Creek,redd_counts,25
MT,Hungry Horse Reservoir,Wheeler Creek,redd_counts,27
MT,Hungry Horse Reservoir,White River,redd_counts,12
MT,Hungry Horse Reservoir,Wounded Buck Creek,redd_counts,27
MT,Hungry Horse Reservoir,Youngs Creek,redd_counts,12
MT,Kootenai River,Callahan Creek (North),redd_counts,13
MT,Kootenai River,Callahan Creek (South),redd_counts,14
MT,Kootenai River,Libby Creek (Bear Creek),redd_counts,25
MT,Kootenai River,O'Brien Creek,redd_counts,29
MT,Kootenai River,Pipe Creek,redd_counts,29
MT,Kootenai River,Quartz Creek,redd_counts,28
MT,Kootenai River,West Fork Quartz (trib to Quartz),redd_counts,30
MT,Kootenai River,West Fisher Creek,redd_counts,27
MT,Lake Koocanusa,Blue Sky Creek (trib to Graves),redd_counts,27
MT,Lake Koocanusa,Clarence Creek (trib to Graves),redd_counts,26
MT,Lake Koocanusa,Graves Creek,redd_counts,25
MT,Lake Koocanusa,Skookumchuck Cr (B.C.),redd_counts,17
MT,Lake Koocanusa,Middle Fork White River (B.C.),redd_counts,14
MT,Lake Koocanusa,Wigwam River (part in MT),redd_counts,21
MT,Lake Pend Oreille,East Fork Bull River,redd_counts,20
MT,Lake Pend Oreille,South Fork Bull River,redd_counts,16
MT,Lake Pend Oreille,Beatrice Creek,redd_counts,18
MT,Lake Pend Oreille,Fishtrap Creek,redd_counts,24
MT,Lake Pend Oreille,Jungle Creek,redd_counts,17
MT,Lake Pend Oreille,West Fork Fishtrap Creek,redd_counts,21
MT,Lake Pend Oreille,Graves Creek,redd_counts,22
MT,Lake Pend Oreille,Post Creek,redd_counts,28
MT,Lake Pend Oreille,Cooper Gulch,redd_counts,18
MT,Lake Pend Oreille,Crow Creek,redd_counts,18
MT,Lake Pend Oreille,Dry Creek,redd_counts,18
MT,Lake Pend Oreille,Lower Prospect Creek,redd_counts,19
MT,Lake Pend Oreille,Upper Prospect Creek,redd_counts,20
MT,Lake Pend Oreille,Rock Creek,redd_counts,18
MT,Lake Pend Oreille,Swamp Creek,redd_counts,19
MT,Lake Pend Oreille,Vermilion River,redd_counts,20
MT,Lake Pend Oreille,West Fork Thompson River,redd_counts,20
MT,Lake Pend Oreille,"Marten Creek (Not an LP or CH, trib to Clark Fork R.)",redd_counts,20
MT,Lake Pend Oreille,West Fork Trout Creek,redd_counts,11
MT,Lindbergh Lake,"Lindbergh Lake (simple) (Swan R., Crystal Creek)",redd_counts,15
MT,Logging,Logging Creek,redd_counts,15
MT,Lower Quartz Lake,Quartz Creek,redd_counts,15
MT,Middle Clark Fork River,Fish Creek (North Fork),redd_counts,21
MT,Middle Clark Fork River,Fish Creek (West Fork),redd_counts,19
MT,Middle Clark Fork River,Rattlesnake Creek,redd_counts,21
MT,Rock Creek,East Fork Rock Creek,redd_counts,25
MT,Rock Creek,Hogback Creek,redd_counts,16
MT,Rock Creek,Carpp Creek (trib to Middle Rock),redd_counts,27
MT,Rock Creek,Copper Creek (trib to Middle Rock),redd_counts,27
MT,Rock Creek,Middle Fork Rock Creek,redd_counts,26
MT,Rock Creek,Ranch Creek,redd_counts,21
MT,Rock Creek,Ross Fork Rock Creek,redd_counts,16
MT,Rock Creek,Stony Creek,redd_counts,28
MT,Rock Creek,Welcome Creek,redd_counts,22
MT,Rock Creek,Little Stony Creek  (Not a LP),redd_counts,21
MT,Swan Lake,Cold Creek,redd_counts,26
MT,Swan Lake,Elk Creek,redd_counts,29
MT,Swan Lake,Goat Creek,redd_counts,30
MT,Swan Lake,Squeezer Creek,redd_counts,29
MT,Swan Lake,Jim Creek,redd_counts,29
MT,Swan Lake,Lion Creek,redd_counts,30
MT,Swan Lake,Lost Creek (South),redd_counts,23
MT,Swan Lake,Piper Creek,redd_counts,27
MT,Swan Lake,Soup Creek,redd_counts,28
MT,Swan Lake,South Woodward Creek,redd_counts,18
MT,Swan Lake,Woodward Creek,redd_counts,25
MT,Upper Clark Fork River,Boulder Creek,redd_counts,11
MT,Upper Clark Fork River,Twin Lakes Creek,redd_counts,22
MT,Upper Clark Fork River,Warm Springs Creek,redd_counts,21
MT,Upper Clark Fork River,Foster Creek,redd_counts,21
MT,Upper Stillwater Lake,Fitzsimmons Creek (trib to Stillwater R.),redd_counts,16
MT,Upper Stillwater Lake,Stillwater River,redd_counts,23
MT,Upper Whitefish Lake,East Fork Swift Creek,redd_counts,23
MT,West Fork Bitterroot River,Deer Creek,redd_counts,25
MT,Whitefish Lake,Swift Creek (West),redd_counts,26
MT,St. Mary River,Boulder Creek,redd_counts,20
MT,St. Mary River,Kennedy Creek,redd_counts,20
OR,Hood River,Upper Clear Branch,redd_counts,15
OR,Lower Deschutes River,Jefferson/Candle complex,redd_counts,29
OR,Lower Deschutes River,Canyon/Jack/Heising Spring complex,redd_counts,29
OR,Odell Lake,Trapper Creek,redd_counts,26
OR,Upper Willamette River,Trail Bridge Res. complex,redd_counts,27
OR,Upper Willamette River,McKenzie River,redd_counts,18
OR,Upper Willamette River,South Fork McKenzie River,redd_counts,22
OR,Upper Willamette River,Middle Fork Willamette River,redd_counts,16
OR,Imnaha River,Upper Imnaha River,redd_counts,17
OR,Imnaha River,Lower Imnaha River,redd_counts,18
OR,Imnaha River,Cliff Creek,redd_counts,17
OR,Imnaha River,Lower Big Sheep Creek,redd_counts,19
OR,Lookingglass/Wenaha,Lookingglass Creek,weir,22
OR,Pine-Indian-Wildhorse Creeks,Upper Pine Creek,redd_counts,12
OR,Pine-Indian-Wildhorse Creeks,Clear Creek,redd_counts,14
OR,Pine-Indian-Wildhorse Creeks,Elk Creek,redd_counts,20
OR,Pine-Indian-Wildhorse Creeks,Elk Creek,redd_counts,17
OR,Umatilla River,North Fork Umatilla River,redd_counts,27
OR,Upper Grande Ronde,Catherine Creek,redd_counts,16
OR,Upper Grande Ronde,Catherine Creek,weir,22
OR,Walla Walla River,South Fork Walla Walla River,redd_counts,25
OR,Walla Walla River,South Fork Walla Walla River,dam_counts,19
OR,Walla Walla River,Mill Creek,redd_counts,21
OR,Wallowa/Minam,Lostine River,redd_counts,21
OR,Wallowa/Minam,Bear Creek,redd_counts,21
WA,Chester Morse Lake,Cedar River,redd_counts,12
WA,Chester Morse Lake,Rex River,redd_counts,12
WA,Lewis River,Lewis Bull Trout,adult_count,21
WA,Lewis River,P8,redd_counts,13
WA,Lewis River,Cougar Creek,redd_counts,14
WA,Lower Skagit River,Lower Skagit Bull Trout,redd_counts,12
WA,Lower Skagit River,West Fork Bacon Creek Bull Trout,redd_counts,18
WA,Lower Skagit River,Cascade River Bull Trout,redd_counts,14
WA,Lower Skagit River,South Fork Sauk River,redd_counts,18
WA,Lower Skagit River,Downey Creek,redd_counts,16
WA,Puyallup River,White River (Puyallup) Bull Trout,trap_count,28
WA,Puyallup River,"Ranger Cr, Carbon R tributary",redd_counts,15
WA,Puyallup River,"Antler Cr, White R tributary",redd_counts,16
WA,Puyallup River,"Deadwood Cr, White R tributary",redd_counts,11
WA,Puyallup River,"Discovery Cr, White R tributary",redd_counts,13
WA,Puyallup River,"Fryingpan Cr, White R tributary",redd_counts,17
WA,Puyallup River,"Klickitat Cr, White R tributary",redd_counts,21
WA,Puyallup River,"Noname Cr, White R tributary",redd_counts,16
WA,Puyallup River,"Parallel Cr, White R tributary",redd_counts,14
WA,Puyallup River,"Shaw Cr, White R tributary",redd_counts,14
WA,Puyallup River,"Sunrise Cr, White R tributary",redd_counts,16
WA,Puyallup River,"w07-00a, White R tributary",redd_counts,12
WA,Puyallup River,"Winzig, White R tributary",redd_counts,11
WA,Puyallup River,"Wright Cr, White R tributary",redd_counts,13
WA,Skokomish River,South Fork Skokomish Bull Trout,redd_counts,14
WA,Skokomish River,Lake Cushman Bull Trout,snorkel,22
WA,Snohomish and Skykomish Rivers,Skykomish Bull Trout,adult_trap_count,21
WA,Snohomish and Skykomish Rivers,Skykomish Bull Trout,redd_counts,28
WA,Stillaguamish River,SF Stillaguamish R. and Palmer Creek,redd_counts,18
WA,Asotin Creek,Asotin Creek Bull Trout,weir,17
WA,Entiat River,Entiat Bull Trout,redd_counts,24
WA,Entiat River,Mad River Bull Trout,redd_counts,21
WA,Methow River,Early Winters Creek Bull Trout,redd_counts,19
WA,Methow River,Goat Creek Bull Trout,redd_counts,16
WA,Methow River,Lost River Bull Trout,redd_counts,10
WA,Methow River,East Fork Buttermilk Creek Bull Trout,redd_counts,17
WA,Methow River,Gold Creek (Methow) Bull Trout,redd_counts,13
WA,Methow River,Lake Creek Bull Trout,redd_counts,19
WA,Methow River,Twisp Bull Trout,redd_counts,20
WA,Methow River,West Fork Buttermilk Creek Bull Trout,redd_counts,11
WA,Methow River,West Fork Methow Bull Trout,redd_counts,17
WA,Methow River,Wolf Creek Bull Trout,redd_counts,18
WA,Touchet River,North Fork Touchet Bull Trout,redd_counts,19
WA,Touchet River,Wolf Fork Touchet Bull Trout,redd_counts,13
WA,Touchet River,Touchet,weir,22
WA,Tucannon River,Tucannon,weir,25
WA,Tucannon River,Tucannon River Bull Trout,redd_counts,20
WA,Tucannon River,Bear Creek Bull Trout,redd_counts,19
WA,Wenatchee River,Phelps Creek Bull Trout,redd_counts,17
WA,Wenatchee River,Rock Creek Bull Trout,redd_counts,18
WA,Wenatchee River,Chiwaukum Creek Bull Trout,redd_counts,15
WA,Wenatchee River,Chikamin Creek Bull Trout,redd_counts,21
WA,Wenatchee River,Little Wenatchee Bull Trout,redd_counts,12
WA,Wenatchee River,Nason Creek Bull Trout,redd_counts,14
WA,Wenatchee River,Panther Creek Bull Trout,redd_counts,23
WA,Wenatchee River,White River (Wenatchee) Bull Trout,redd_counts,10
WA,Yakima River,Ahtanum Creek Bull Trout,redd_counts,26
WA,Yakima River,Ahtanum Creek Bull Trout,redd_counts,22
WA,Yakima River,Ahtanum Creek Bull Trout,redd_counts,18
WA,Yakima River,American River Bull Trout,redd_counts,23
WA,Yakima River,Box Canyon Creek Bull Trout,redd_counts,28
WA,Yakima River,Crow Creek Bull Trout,redd_counts,19
WA,Yakima River,Deep Creek Bull Trout,redd_counts,28
WA,Yakima River,Gold Creek (Yakima) Bull Trout,redd_counts,28
WA,Yakima River,Indian Creek Bull Trout,redd_counts,28
WA,Yakima River,Kachess River Bull Trout,redd_counts,20
WA,Yakima River,North Fork Tieton River Bull Trout,redd_counts,13
WA,Yakima River,Rattlesnake Creek Bull Trout,redd_counts,23
WA,Yakima River,South Fork Tieton Bull Trout,redd_counts,24
